caldt,b30ret,b10ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
31MAY2016,0.007189,0.001216,-0.001997,-0.001043,-0.000395,0.000155,0.000115,0.004046
30JUN2016,0.081482,0.033345,0.020241,0.006537,0.002989,0.000437,0.000188,0.003284
29JUL2016,0.023540,0.003269,-0.000004,-0.000304,-0.000439,0.000261,0.000171,-0.001618
31AUG2016,-0.007586,-0.007940,-0.007998,-0.002592,-0.000113,0.000269,0.000165,0.000918
30SEP2016,-0.016210,-0.001325,0.003735,0.001262,0.000587,0.000562,0.000219,0.002404
31OCT2016,-0.052765,-0.015542,-0.006222,-0.000428,0.000553,0.000282,0.000168,0.001247
30NOV2016,-0.092558,-0.040878,-0.023927,-0.003813,-0.001020,0.000123,0.000136,-0.001555
30DEC2016,-0.003585,-0.003537,0.000090,-0.000514,0.000545,0.000437,0.000239,0.000327
31JAN2017,0.003438,0.002167,0.002885,0.000848,0.001536,0.000476,0.000358,0.005828
28FEB2017,0.014700,0.007423,0.000809,0.000628,0.000055,0.000352,0.000364,0.003146
31MAR2017,-0.000788,0.002424,0.003220,0.001442,0.000026,0.000384,0.000353,0.000813
28APR2017,0.013940,0.011063,0.007231,0.001317,0.000494,0.000617,0.000537,0.002966
31MAY2017,0.019849,0.007856,0.004701,0.001096,0.000730,0.000588,0.000614,0.000855
30JUN2017,0.011944,-0.001307,-0.003845,-0.000752,0.000320,0.000873,0.000617,0.000907
31JUL2017,-0.014681,-0.000007,0.004778,0.001994,0.001660,0.000917,0.000722,-0.000690
31AUG2017,0.038103,0.017123,0.007760,0.001622,0.001338,0.000978,0.000827,0.002994
29SEP2017,-0.024410,-0.017151,-0.008855,-0.001865,-0.000121,0.000802,0.000944,0.005295
31OCT2017,-0.001464,-0.001133,-0.001956,-0.000788,0.000230,0.000939,0.000840,-0.000632
30NOV2017,0.012175,-0.002607,-0.003261,-0.001773,-0.000667,0.000951,0.000826,0.000024
29DEC2017,0.020232,0.002222,-0.000897,-0.000203,0.000146,0.000942,0.000884,-0.000588
31JAN2018,-0.036049,-0.023598,-0.012369,-0.003274,0.000496,0.001346,0.001121,0.005448
