PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret,TICKER
10107,17JUN2016,252,-0.5160%,1.1881,0.0006,1.1591%,1.7084%,53.9705%,-0.1602%,MSFT
10107,22JUN2016,252,-0.3907%,1.1873,0.0007,1.1641%,1.7113%,53.7234%,-0.1543%,MSFT
10107,12DEC2018,252,0.4512%,1.4361,0.0011,0.8669%,1.6679%,72.9874%,-0.5371%,MSFT
10107,07APR2015,252,-0.0361%,1.0441,-0.0002,1.0503%,1.3210%,36.7893%,0.1964%,MSFT
10107,12JUL2016,252,1.1789%,1.2000,0.0007,1.1526%,1.7479%,56.5173%,0.2765%,MSFT
10107,26AUG2019,252,1.5443%,1.3377,0.0010,0.8787%,1.6905%,72.9792%,0.0930%,MSFT
10107,14FEB2019,252,0.0843%,1.4246,0.0006,0.8987%,1.7598%,73.9217%,0.3735%,MSFT
10107,28FEB2019,252,-0.1248%,1.4250,0.0007,0.9078%,1.7477%,73.0220%,0.3064%,MSFT
10107,13JAN2015,252,-0.5257%,0.8851,0.0009,0.9734%,1.1886%,32.9265%,-0.3545%,MSFT
10107,26JAN2018,252,1.8737%,1.2257,0.0004,0.7679%,0.9550%,35.3502%,0.5221%,MSFT
10107,02APR2019,252,0.1428%,1.3787,0.0007,0.8623%,1.6255%,71.8579%,0.2017%,MSFT
10107,28APR2015,252,2.3423%,1.0853,0.0003,1.2319%,1.4721%,29.9731%,2.0499%,MSFT
10107,24APR2019,252,-0.3428%,1.3754,0.0007,0.8617%,1.5928%,70.7344%,-0.0365%,MSFT
10107,13MAY2015,252,0.5808%,1.1008,0.0003,1.2330%,1.4840%,30.9611%,0.5698%,MSFT
10107,16MAY2019,252,2.3092%,1.3672,0.0009,0.8768%,1.6117%,70.4028%,1.0591%,MSFT
10107,09SEP2016,252,-2.1243%,1.1589,0.0008,1.1255%,1.5782%,49.1436%,0.7550%,MSFT
10107,10JUN2019,252,0.9133%,1.3783,0.0010,0.8907%,1.6473%,70.7634%,0.1733%,MSFT
10107,27JUN2019,252,0.1643%,1.3815,0.0010,0.8938%,1.6527%,70.7486%,-0.6748%,MSFT
10107,02JUL2019,252,0.6633%,1.3776,0.0009,0.8969%,1.6500%,70.4490%,0.4615%,MSFT
10107,22AUG2016,252,0.0868%,1.1932,0.0008,1.1360%,1.6965%,55.1593%,0.1101%,MSFT
10107,25JUL2019,252,-0.3766%,1.3731,0.0008,0.8817%,1.6365%,70.9742%,0.4798%,MSFT
10107,13MAR2019,252,0.7745%,1.4338,0.0007,0.9035%,1.7478%,73.2811%,-0.2099%,MSFT
10107,16AUG2019,252,1.8327%,1.3331,0.0010,0.8913%,1.6721%,71.5896%,-0.2446%,MSFT
10107,16JAN2014,252,0.3536%,0.8981,0.0005,1.4519%,1.5853%,16.1265%,0.4166%,MSFT
10107,10SEP2019,252,-1.0471%,1.3277,0.0009,0.8757%,1.6892%,73.1293%,-1.2820%,MSFT
10107,22AUG2014,252,-0.1548%,0.8521,0.0008,1.2098%,1.3450%,19.0942%,-0.0685%,MSFT
10107,02OCT2019,252,-1.7655%,1.3202,0.0008,0.8796%,1.6966%,73.1217%,0.5165%,MSFT
10107,05JUN2015,252,-0.4745%,1.1104,0.0002,1.2308%,1.4863%,31.4235%,-0.5416%,MSFT
10107,24OCT2019,252,1.9674%,1.3019,0.0007,0.8635%,1.6374%,72.1925%,1.6218%,MSFT
10107,31DEC2018,252,1.1754%,1.4241,0.0012,0.8717%,1.7770%,75.9391%,-0.1167%,MSFT
10107,15NOV2019,252,1.2900%,1.2755,0.0008,0.7980%,1.5109%,72.1007%,0.3394%,MSFT
10107,10OCT2019,252,0.6221%,1.3122,0.0009,0.8743%,1.6967%,73.4476%,-0.1589%,MSFT
10107,10DEC2019,252,-0.1520%,1.2499,0.0006,0.7634%,1.3986%,70.2031%,-0.0589%,MSFT
10107,03DEC2018,252,1.0822%,1.4561,0.0009,0.8889%,1.6523%,71.0601%,-0.5765%,MSFT
10107,03JAN2020,252,-1.2452%,1.2128,0.0007,0.7443%,1.2319%,63.4892%,-0.4323%,MSFT
10107,04FEB2014,252,-0.3564%,0.8051,0.0007,1.4952%,1.6118%,13.9443%,-0.9862%,MSFT
10107,28JAN2020,252,1.9596%,1.2160,0.0008,0.7302%,1.1902%,62.3596%,0.7110%,MSFT
10107,09JAN2017,252,-0.3183%,1.1589,-0.0001,1.0198%,1.4059%,47.3805%,0.1046%,MSFT
10107,20FEB2020,252,-1.5271%,1.2200,0.0013,0.7442%,1.2048%,61.8440%,-1.1076%,MSFT
10107,05OCT2018,252,-0.5852%,1.4413,0.0009,0.8619%,1.4246%,63.3943%,0.3317%,MSFT
10107,13MAR2020,252,14.2169%,1.1988,0.0016,0.8658%,1.9407%,80.0952%,4.0683%,MSFT
10107,18NOV2019,252,0.2467%,1.2728,0.0007,0.7971%,1.5053%,71.9582%,0.2152%,MSFT
10107,06APR2020,252,7.4368%,1.1484,0.0018,0.9370%,2.4530%,85.4105%,-0.7155%,MSFT
10107,29AUG2018,252,1.5962%,1.4200,0.0007,0.8598%,1.4080%,62.7109%,0.7953%,MSFT
10107,29APR2020,252,4.4874%,1.1353,0.0013,0.9979%,2.5204%,84.3255%,1.1809%,MSFT
10107,19JUL2016,252,-1.6123%,1.1993,0.0006,1.1537%,1.7473%,56.4035%,-1.3497%,MSFT
10107,21MAY2020,252,-1.2011%,1.1119,0.0014,1.0317%,2.5149%,83.1687%,-0.4234%,MSFT
10107,14FEB2020,252,0.8927%,1.2175,0.0013,0.7387%,1.2014%,62.1907%,0.7042%,MSFT
10107,15JUN2020,252,0.6392%,1.0881,0.0012,1.0759%,2.5278%,81.8824%,-0.5584%,MSFT
10107,18MAR2020,252,-4.2096%,1.1977,0.0017,0.8793%,2.2299%,84.4519%,2.5425%,MSFT
10107,08JUL2020,252,2.1993%,1.0874,0.0015,1.0740%,2.5467%,82.2131%,1.2106%,MSFT
10107,28FEB2017,252,-0.3892%,1.0549,0.0000,0.9769%,1.2160%,35.4530%,0.0522%,MSFT
10107,30JUL2020,252,-0.0784%,1.0891,0.0013,1.1308%,2.5817%,80.8165%,0.2380%,MSFT
10107,07JUL2020,252,-1.1628%,1.0865,0.0014,1.0729%,2.5438%,82.2110%,-0.0441%,MSFT
10107,21AUG2020,252,-0.7270%,1.0944,0.0011,1.1946%,2.5923%,78.7630%,-1.0007%,MSFT
10107,09JUL2020,252,0.7001%,1.0867,0.0015,1.0761%,2.5464%,82.1422%,1.2764%,MSFT
