PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret
10107,22MAY2014,252,-0.6196%,0.0003,0.9429,-0.3679,-0.4879,1.4294%,1.5835%,18.5112%,-0.8619%
10107,23MAY2014,252,0.0499%,0.0003,0.9380,-0.3590,-0.4857,1.4280%,1.5810%,18.4127%,-0.2963%
10107,27MAY2014,252,0.1745%,0.0003,0.9383,-0.3655,-0.4882,1.4278%,1.5809%,18.4237%,-0.3027%
10107,28MAY2014,252,-0.4479%,0.0002,0.9338,-0.3897,-0.5171,1.4235%,1.5756%,18.3772%,-0.3469%
10107,29MAY2014,252,0.8248%,0.0002,0.9367,-0.3919,-0.5255,1.4233%,1.5760%,18.4413%,0.1896%
10107,30MAY2014,252,1.4874%,0.0002,0.9400,-0.4127,-0.5306,1.4255%,1.5784%,18.4371%,1.3092%
10107,02JUN2014,252,-0.3664%,0.0002,0.9515,-0.4215,-0.5307,1.4247%,1.5784%,18.5282%,-0.5059%
10107,03JUN2014,252,-1.2258%,0.0000,0.9471,-0.4213,-0.5420,1.4230%,1.5760%,18.4686%,-1.1859%
10107,04JUN2014,252,0.0745%,0.0001,0.9419,-0.4302,-0.5541,1.4204%,1.5720%,18.3649%,-0.1372%
10107,05JUN2014,252,2.2073%,0.0001,0.9483,-0.3848,-0.5345,1.4249%,1.5771%,18.3707%,1.9416%
10107,06JUN2014,252,0.6552%,0.0002,0.9497,-0.3818,-0.5316,1.4250%,1.5773%,18.3784%,0.3172%
10107,09JUN2014,252,-0.5063%,0.0001,0.9432,-0.3810,-0.5290,1.4248%,1.5730%,17.9538%,-0.4959%
10107,10JUN2014,252,-0.3877%,0.0001,0.9421,-0.3739,-0.5231,1.4250%,1.5727%,17.9081%,-0.4438%
10107,11JUN2014,252,-0.6081%,0.0001,0.9325,-0.3726,-0.5415,1.4236%,1.5689%,17.6749%,-0.4657%
10107,12JUN2014,252,-0.6853%,0.0001,0.9418,-0.3774,-0.5393,1.4216%,1.5695%,17.9664%,0.0819%
10107,13JUN2014,252,1.6018%,0.0002,0.9692,-0.3862,-0.5216,1.4178%,1.5714%,18.5979%,1.1901%
10107,16JUN2014,252,0.6549%,0.0002,0.9649,-0.3919,-0.5469,1.4171%,1.5705%,18.5808%,0.3505%
10107,17JUN2014,252,0.4337%,0.0002,0.9578,-0.3782,-0.5371,1.4160%,1.5672%,18.3644%,0.5689%
10107,18JUN2014,252,-0.0720%,0.0002,0.9540,-0.3646,-0.5294,1.4165%,1.5672%,18.3063%,-0.9424%
10107,19JUN2014,252,-0.3361%,0.0002,0.9565,-0.3652,-0.5294,1.4169%,1.5656%,18.0977%,-0.5175%
10107,20JUN2014,252,0.4095%,0.0002,0.9401,-0.3510,-0.5175,1.4164%,1.5519%,16.7057%,0.3259%
10107,23JUN2014,252,0.7438%,0.0003,0.9397,-0.3509,-0.5171,1.4162%,1.5517%,16.6970%,0.7136%
10107,24JUN2014,252,-0.5835%,0.0002,0.9697,-0.3544,-0.4628,1.4096%,1.5503%,17.3323%,-0.1555%
10107,25JUN2014,252,0.6827%,0.0002,0.9769,-0.3488,-0.4368,1.4090%,1.5506%,17.4379%,0.3658%
10107,26JUN2014,252,-0.7376%,0.0002,0.9675,-0.3281,-0.4240,1.4087%,1.5469%,17.0609%,-0.6571%
10107,27JUN2014,252,1.2704%,0.0002,0.9654,-0.3290,-0.4387,1.4100%,1.5480%,17.0315%,1.0788%
10107,30JUN2014,252,-1.3018%,0.0001,0.9686,-0.3412,-0.4510,1.4121%,1.5504%,17.0446%,-1.2059%
10107,01JUL2014,252,0.4077%,0.0002,0.9689,-0.3277,-0.4429,1.4108%,1.5500%,17.1610%,-0.3189%
10107,02JUL2014,252,0.0717%,0.0002,0.9665,-0.3237,-0.4386,1.4090%,1.5477%,17.1238%,-0.1353%
10107,03JUL2014,252,-0.2387%,0.0002,0.9638,-0.3264,-0.4433,1.4097%,1.5479%,17.0562%,-0.6894%
10107,07JUL2014,252,0.4546%,0.0002,0.9658,-0.3425,-0.4412,1.4105%,1.5477%,16.9515%,0.7850%
