PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret
10107,10JUN2014,252,-0.3877%,-0.0000,1.2105,-0.2054,-0.6258,-0.6763,1.4053%,1.5727%,20.1601%,-0.5034%
10107,11JUN2014,252,-0.6081%,0.0000,1.2011,-0.2048,-0.6469,-0.6779,1.4037%,1.5689%,19.9593%,-0.2199%
10107,12JUN2014,252,-0.6853%,-0.0000,1.2099,-0.2095,-0.6445,-0.6773,1.4017%,1.5695%,20.2450%,0.0877%
10107,13JUN2014,252,1.6018%,0.0001,1.2404,-0.2156,-0.6267,-0.6855,1.3973%,1.5714%,20.9301%,1.0372%
10107,16JUN2014,252,0.6549%,0.0001,1.2357,-0.2201,-0.6410,-0.6800,1.3971%,1.5705%,20.8626%,0.2311%
10107,17JUN2014,252,0.4337%,0.0001,1.2304,-0.2078,-0.6358,-0.6849,1.3957%,1.5672%,20.6933%,0.3865%
10107,18JUN2014,252,-0.0720%,0.0001,1.2284,-0.1914,-0.6279,-0.6889,1.3960%,1.5672%,20.6575%,-1.0507%
10107,19JUN2014,252,-0.3361%,0.0000,1.2427,-0.1941,-0.6335,-0.7038,1.3957%,1.5656%,20.5279%,-0.4534%
10107,20JUN2014,252,0.4095%,0.0000,1.2299,-0.1873,-0.6244,-0.6945,1.3958%,1.5519%,19.1052%,0.4898%
10107,23JUN2014,252,0.7438%,0.0001,1.2428,-0.1769,-0.6290,-0.7277,1.3940%,1.5517%,19.2842%,0.6656%
10107,24JUN2014,252,-0.5835%,-0.0000,1.2736,-0.1798,-0.5736,-0.7283,1.3872%,1.5503%,19.9289%,-0.2408%
10107,25JUN2014,252,0.6827%,0.0000,1.2762,-0.1762,-0.5527,-0.7215,1.3871%,1.5506%,19.9782%,0.4207%
10107,26JUN2014,252,-0.7376%,-0.0000,1.2708,-0.1431,-0.5387,-0.7417,1.3857%,1.5469%,19.7510%,-0.4560%
10107,27JUN2014,252,1.2704%,-0.0000,1.2732,-0.1445,-0.5555,-0.7524,1.3863%,1.5480%,19.8072%,0.7958%
10107,30JUN2014,252,-1.3018%,-0.0001,1.2760,-0.1531,-0.5683,-0.7559,1.3883%,1.5504%,19.8242%,-1.1973%
10107,01JUL2014,252,0.4077%,-0.0000,1.2743,-0.1410,-0.5581,-0.7523,1.3871%,1.5500%,19.9204%,-0.5059%
10107,02JUL2014,252,0.0717%,-0.0000,1.2721,-0.1374,-0.5544,-0.7527,1.3853%,1.5477%,19.8943%,-0.1178%
10107,03JUL2014,252,-0.2387%,-0.0000,1.2663,-0.1421,-0.5595,-0.7465,1.3863%,1.5479%,19.7848%,-0.8679%
10107,07JUL2014,252,0.4546%,0.0000,1.2599,-0.1720,-0.5579,-0.7277,1.3881%,1.5477%,19.5635%,1.1360%
10107,08JUL2014,252,-0.5001%,0.0001,1.2542,-0.1763,-0.5439,-0.7189,1.3886%,1.5481%,19.5438%,0.6431%
10107,09JUL2014,252,-0.2633%,0.0000,1.2563,-0.1639,-0.5300,-0.7264,1.3890%,1.5483%,19.5246%,-0.7514%
10107,10JUL2014,252,0.0360%,0.0000,1.2502,-0.1760,-0.5263,-0.7107,1.3890%,1.5472%,19.4131%,0.5499%
10107,11JUL2014,252,0.9716%,0.0000,1.2322,-0.1702,-0.5103,-0.6935,1.3884%,1.5385%,18.5569%,0.6627%
10107,14JUL2014,252,0.1188%,0.0000,1.2318,-0.1690,-0.5091,-0.6949,1.3885%,1.5385%,18.5445%,-0.2422%
10107,15JUL2014,252,0.7356%,0.0000,1.2314,-0.2016,-0.5017,-0.6824,1.3878%,1.5368%,18.4498%,1.1395%
10107,16JUL2014,252,3.8398%,0.0001,1.2543,-0.2454,-0.4826,-0.6786,1.4040%,1.5548%,18.4574%,3.4243%
10107,17JUL2014,252,1.0209%,0.0003,1.2266,-0.2457,-0.4631,-0.6595,1.4070%,1.5527%,17.8942%,2.1520%
10107,18JUL2014,252,0.3593%,0.0003,1.2214,-0.2368,-0.4138,-0.6504,1.4065%,1.5517%,17.8323%,-0.7703%
10107,21JUL2014,252,0.3245%,0.0008,1.2064,-0.2383,-0.2913,-0.5909,1.2073%,1.3702%,22.3558%,0.7433%
10107,22JUL2014,252,-0.0111%,0.0007,1.2061,-0.2485,-0.3165,-0.5990,1.2024%,1.3656%,22.4737%,-0.5193%
10107,23JUL2014,252,0.0892%,0.0007,1.2022,-0.2417,-0.2925,-0.5930,1.2024%,1.3647%,22.3755%,-0.4756%
10107,24JUL2014,252,-1.0475%,0.0006,1.2042,-0.2266,-0.2784,-0.5972,1.2044%,1.3667%,22.3506%,-1.2508%
10107,25JUL2014,252,0.2252%,0.0007,1.2114,-0.2026,-0.2991,-0.6246,1.1958%,1.3613%,22.8256%,0.6970%
10107,28JUL2014,252,-1.1910%,0.0007,1.2090,-0.1859,-0.2969,-0.6261,1.1983%,1.3634%,22.7497%,-1.2377%
10107,29JUL2014,252,-0.1933%,0.0007,1.2094,-0.1891,-0.3009,-0.6276,1.1982%,1.3634%,22.7595%,-0.0064%
10107,30JUL2014,252,-0.6984%,0.0006,1.2078,-0.1966,-0.2794,-0.6159,1.1989%,1.3634%,22.6670%,-0.9382%
10107,31JUL2014,252,-0.9603%,0.0006,1.1839,-0.1827,-0.2618,-0.6105,1.2008%,1.3651%,22.6262%,1.1681%
10107,01AUG2014,252,-0.6951%,0.0007,1.2086,-0.1916,-0.2502,-0.6089,1.1951%,1.3655%,23.3971%,-0.1809%
10107,04AUG2014,252,1.1899%,0.0007,1.2124,-0.1880,-0.2458,-0.6134,1.1950%,1.3666%,23.5416%,0.5737%
10107,05AUG2014,252,-0.6687%,0.0007,1.2095,-0.1759,-0.2455,-0.6190,1.1944%,1.3668%,23.6330%,0.2552%
10107,06AUG2014,252,-0.7892%,0.0007,1.2045,-0.1942,-0.2568,-0.5991,1.1963%,1.3677%,23.4871%,-1.0077%
10107,07AUG2014,252,1.1465%,0.0007,1.1890,-0.1886,-0.2535,-0.5731,1.1967%,1.3663%,23.2937%,1.7956%
10107,08AUG2014,252,-0.0694%,0.0006,1.1548,-0.1711,-0.2415,-0.5517,1.1935%,1.3576%,22.7169%,-1.4620%
10107,11AUG2014,252,0.0000%,0.0006,1.1511,-0.1763,-0.2411,-0.5450,1.1938%,1.3569%,22.6016%,-0.4238%
10107,12AUG2014,252,0.7407%,0.0006,1.1486,-0.1915,-0.2372,-0.5330,1.1948%,1.3573%,22.5114%,0.9345%
10107,13AUG2014,252,1.2868%,0.0007,1.1528,-0.2151,-0.2529,-0.5190,1.1914%,1.3564%,22.8449%,0.8435%
10107,14AUG2014,252,0.4310%,0.0006,1.1535,-0.2233,-0.2624,-0.5121,1.1905%,1.3564%,22.9730%,-0.2993%
10107,15AUG2014,252,1.1746%,0.0007,1.1406,-0.2297,-0.2663,-0.4985,1.1925%,1.3528%,22.2971%,1.3012%
10107,18AUG2014,252,0.7144%,0.0007,1.1435,-0.2331,-0.2711,-0.5046,1.1921%,1.3532%,22.3895%,-0.1966%
10107,19AUG2014,252,1.1084%,0.0007,1.1400,-0.2463,-0.3084,-0.5076,1.1908%,1.3515%,22.3707%,0.4736%
10107,20AUG2014,252,-0.8383%,0.0007,1.1377,-0.2412,-0.3220,-0.5159,1.1926%,1.3525%,22.2422%,-1.1216%
10107,21AUG2014,252,0.6007%,0.0006,1.1466,-0.2356,-0.3057,-0.5265,1.1922%,1.3527%,22.3285%,0.2996%
10107,22AUG2014,252,-0.1548%,0.0006,1.1359,-0.2529,-0.3234,-0.5225,1.1875%,1.3450%,22.0521%,-0.0352%
10107,25AUG2014,252,0.0443%,0.0004,1.0721,-0.2084,-0.2417,-0.4331,1.1129%,1.2671%,22.8494%,-0.4101%
10107,26AUG2014,252,-0.3653%,0.0004,1.0592,-0.2075,-0.2562,-0.4210,1.1100%,1.2620%,22.6431%,-0.5917%
