PERMNO,DATE,n,RET,vwretd,swbeta,swalpha,ivol,tvol,R2
93436,17AUG2016,252,-0.17%,0.10%,1.48,-0.00,2.15%,2.73%,37.91%
93436,18AUG2016,252,0.12%,0.34%,1.48,-0.00,2.16%,2.73%,37.26%
93436,19AUG2016,252,0.67%,-0.18%,1.44,-0.00,2.19%,2.71%,34.46%
93436,22AUG2016,252,-0.92%,-0.04%,1.42,-0.00,2.24%,2.69%,31.12%
93436,23AUG2016,252,0.86%,0.28%,1.43,-0.00,2.26%,2.67%,28.57%
93436,24AUG2016,252,-0.99%,-0.60%,1.44,-0.00,2.25%,2.67%,29.02%
93436,25AUG2016,252,-0.75%,-0.07%,1.50,-0.00,2.25%,2.67%,29.31%
93436,26AUG2016,252,-0.44%,-0.18%,1.38,-0.00,2.29%,2.63%,24.22%
93436,29AUG2016,252,-2.18%,0.52%,1.36,-0.00,2.30%,2.63%,23.54%
93436,30AUG2016,252,-1.79%,-0.15%,1.39,-0.00,2.29%,2.63%,24.03%
93436,31AUG2016,252,0.32%,-0.26%,1.38,-0.00,2.29%,2.61%,23.48%
93436,01SEP2016,252,-5.30%,0.07%,1.38,-0.00,2.29%,2.63%,23.63%
93436,02SEP2016,252,-1.49%,0.59%,1.38,-0.00,2.30%,2.63%,23.41%
93436,06SEP2016,252,2.55%,0.34%,1.38,-0.00,2.30%,2.63%,23.71%
93436,07SEP2016,252,-0.55%,0.08%,1.38,-0.00,2.29%,2.62%,23.93%
93436,08SEP2016,252,-2.16%,-0.21%,1.39,-0.00,2.29%,2.63%,24.33%
93436,09SEP2016,252,-1.46%,-2.50%,1.37,-0.00,2.29%,2.63%,24.18%
93436,12SEP2016,252,1.97%,1.34%,1.37,-0.00,2.30%,2.63%,23.49%
93436,13SEP2016,252,-1.13%,-1.59%,1.36,-0.00,2.31%,2.63%,23.24%
93436,14SEP2016,252,0.18%,-0.05%,1.37,-0.00,2.30%,2.63%,23.30%
93436,15SEP2016,252,2.04%,1.01%,1.35,-0.00,2.31%,2.63%,22.62%
93436,16SEP2016,252,2.48%,-0.39%,1.36,-0.00,2.31%,2.63%,22.87%
93436,19SEP2016,252,0.46%,0.14%,1.37,-0.00,2.31%,2.63%,22.97%
93436,20SEP2016,252,-0.82%,-0.04%,1.38,-0.00,2.30%,2.63%,23.49%
